Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year
Ireland,126.1,85.9,110.1,154.5,131.6,59.8,2009
Netherlands,123.8,71.9,103.2,90.1,108.5,41.6,2009
France,120.9,77.7,103.8,115.4,118.3,45.5,2009
Belgium,117.5,78.8,102.2,110.9,107.6,55.6,2009
Sweden,112.5,33.3,81.1,99.0,85.2,62.8,2009
Austria,110.4,66.0,92.8,97.7,84.8,54.4,2009
Germany,109.9,40.0,82.1,92.6,89.3,74.0,2009
Israel,106.8,58.8,87.8,110.5,67.2,42.5,2009
Italy,105.8,77.9,94.7,99.1,102.0,41.8,2009
South Korea,102.1,34.7,75.4,150.0,102.7,38.5,2009
United Kingdom,100.2,71.8,88.9,93.3,97.2,66.3,2009
United States,91.7,58.0,78.3,83.7,80.2,98.0,2009
Portugal,89.0,36.4,68.1,51.1,60.3,41.2,2009
Australia,83.3,48.2,69.4,98.9,76.7,120.0,2009
Canada,82.3,61.5,74.0,99.7,65.0,74.7,2009
Chile,79.9,22.1,56.9,55.4,40.8,40.4,2009
Greece,77.4,37.0,61.4,74.5,78.1,38.3,2009
Singapore,74.7,107.6,87.7,110.8,91.1,56.1,2009
Hong Kong,74.5,56.2,67.2,95.1,88.7,45.8,2009
Czech Republic,74.2,46.2,63.1,63.8,54.7,33.0,2009
Brazil,70.5,37.2,57.3,73.6,51.8,47.1,2009
Latvia,68.8,43.5,58.8,37.9,49.3,22.2,2009
Jordan,66.4,19.7,47.9,88.7,62.0,15.9,2009
South Africa,64.7,44.6,56.8,53.3,40.8,54.2,2009
Serbia,62.7,29.3,49.4,51.6,60.4,25.1,2009
Hungary,62.1,28.8,48.9,50.3,43.3,32.0,2009
Colombia,58.5,19.9,43.2,61.0,44.3,28.4,2009
Bahrain,58.0,82.4,67.7,70.1,67.2,49.0,2009
Mexico,54.2,22.4,41.6,40.0,48.7,42.9,2009
Poland,53.5,34.8,46.1,40.7,44.6,26.9,2009
Bosnia And Herzegovina,49.6,13.1,35.1,58.8,36.0,18.6,2009
Bolivia,46.7,21.8,36.8,27.1,37.2,32.5,2009
China,43.5,25.1,36.2,58.4,35.2,35.0,2009
Thailand,39.9,24.5,33.8,53.3,25.3,33.4,2009
India,38.5,10.5,27.4,34.0,29.5,41.4,2009
Ukraine,35.7,28.8,33.0,27.2,37.1,30.3,2009
Norway,161.3,71.6,121.2,169.8,162.6,69.1,2010
Denmark,138.9,83.5,114.1,116.6,159.1,74.1,2010
Netherlands,123.6,61.7,95.9,78.4,114.5,68.5,2010
France,123.5,67.2,98.4,101.0,132.9,70.5,2010
Switzerland,121.4,92.4,108.4,132.2,117.7,137.9,2010
Belgium,120.0,71.1,98.2,109.4,110.9,88.3,2010
Ireland,119.8,71.1,98.0,148.0,118.1,99.4,2010
Italy,115.4,63.7,92.3,94.5,113.3,51.0,2010
Finland,111.1,50.7,84.1,100.2,108.1,106.6,2010
United Kingdom,107.4,65.2,88.5,94.4,96.9,87.6,2010
Austria,107.3,59.6,86.0,96.4,87.5,89.6,2010
Germany,105.5,38.4,75.5,93.6,85.3,106.8,2010
Sweden,104.2,32.4,72.1,98.1,89.6,113.4,2010
Australia,100.5,52.7,79.2,101.9,82.2,114.4,2010
Cyprus,94.1,36.5,68.3,83.2,91.3,97.7,2010
Spain,91.3,45.8,71.0,67.4,82.2,52.1,2010
Israel,89.7,55.4,74.4,93.6,78.2,51.4,2010
South Korea,88.6,42.1,67.8,124.0,79.4,85.2,2010
United States,88.5,49.6,71.1,85.0,71.1,114.8,2010
Japan,86.7,55.2,72.6,100.5,66.9,97.8,2010
Canada,86.0,52.1,70.8,96.0,64.7,96.0,2010
Portugal,84.7,32.5,61.4,49.1,64.8,48.5,2010
United Arab Emirates,83.8,91.0,87.0,64.2,108.5,70.1,2010
Croatia,80.7,33.7,59.7,75.4,63.6,45.9,2010
Greece,77.0,32.4,57.1,76.2,78.7,61.3,2010
Slovenia,76.0,45.1,62.2,63.7,62.5,54.4,2010
Brazil,73.8,31.3,54.8,54.7,48.5,59.3,2010
Czech Republic,72.1,41.6,58.5,62.9,58.4,54.4,2010
Latvia,68.2,31.8,51.9,37.4,50.9,38.3,2010
Chile,67.5,19.7,46.1,55.4,41.6,53.3,2010
Singapore,65.9,71.8,68.6,100.3,56.4,76.8,2010
Jordan,65.6,26.4,48.1,88.2,65.2,22.1,2010
Hong Kong,64.7,58.5,61.9,93.3,50.9,53.2,2010
Hungary,64.4,21.1,45.1,53.3,48.0,32.5,2010
Serbia,62.4,24.3,45.3,49.3,60.6,35.2,2010
Montenegro,61.1,11.8,39.1,53.8,59.2,29.7,2010
Albania,60.5,13.2,39.4,51.3,52.3,27.4,2010
Bulgaria,59.8,24.9,44.2,51.3,48.1,31.5,2010
South Africa,59.4,35.3,48.7,50.9,43.3,57.8,2010
Russia,59.0,52.2,56.0,39.6,64.1,36.3,2010
Venezuela,58.9,46.9,53.6,26.9,65.2,36.2,2010
Turkey,56.9,23.7,42.0,53.7,39.9,62.2,2010
Bahrain,55.0,73.5,63.2,68.3,68.4,56.0,2010
Colombia,54.1,14.4,36.3,53.3,34.7,32.5,2010
Iran,53.9,70.2,61.2,59.6,31.2,38.0,2010
Paraguay,53.6,11.2,34.7,40.5,31.9,19.5,2010
Argentina,53.2,21.2,38.9,34.5,48.0,40.6,2010
Poland,52.6,30.7,42.8,42.6,44.9,52.2,2010
Bosnia And Herzegovina,51.2,7.9,31.8,53.6,38.8,31.3,2010
Lithuania,50.1,28.7,40.5,57.4,36.3,43.3,2010
Mexico,49.7,22.9,37.7,46.0,41.0,51.4,2010
Romania,45.7,27.5,37.5,41.4,41.2,24.3,2010
Ecuador,45.7,19.1,33.8,47.4,28.3,37.9,2010
Belarus,43.0,27.9,36.3,43.7,44.5,12.8,2010
China,40.1,26.1,33.8,65.0,29.5,36.8,2010
Indonesia,38.6,21.2,30.8,45.6,35.2,20.4,2010
Bolivia,38.0,19.4,29.7,26.4,32.9,43.1,2010
Malaysia,37.5,13.9,27.0,51.0,31.4,61.7,2010
Thailand,36.6,21.6,29.9,51.3,28.2,30.8,2010
Pakistan,32.4,9.7,22.2,35.3,30.9,37.4,2010
Ukraine,31.4,23.0,27.6,23.7,36.2,40.0,2010
India,28.7,9.6,20.2,31.0,23.9,43.6,2010
Norway,139.5,56.9,109.8,142.9,136.6,93.9,2011
Switzerland,131.0,62.1,106.2,131.5,115.1,137.1,2011
Denmark,119.7,53.9,96.1,99.0,140.3,93.3,2011
Belgium,109.4,37.4,83.6,87.9,117.3,100.1,2011
Australia,107.8,51.0,87.4,112.0,88.7,117.1,2011
Ireland,107.1,52.8,87.6,110.9,100.1,92.2,2011
Netherlands,105.7,43.3,83.3,64.0,106.4,100.3,2011
France,101.2,42.7,80.2,83.4,96.6,80.8,2011
Sweden,100.7,30.0,75.3,86.0,100.3,99.9,2011
Finland,98.7,39.8,77.5,89.7,88.1,109.8,2011
Japan,96.5,52.0,80.5,88.9,70.8,106.7,2011
Italy,95.8,38.3,75.2,78.7,95.4,66.0,2011
Austria,95.2,40.5,75.6,85.1,75.9,99.0,2011
United Kingdom,93.8,43.7,75.8,87.9,92.8,98.0,2011
Iceland,93.3,36.7,73.0,111.7,90.0,93.2,2011
New Zealand,92.6,29.4,69.9,97.0,81.1,80.4,2011
Cyprus,91.0,31.0,69.4,75.8,88.8,91.8,2011
Greece,89.8,21.1,65.1,72.2,80.7,48.8,2011
Canada,89.3,41.5,72.2,95.1,69.8,109.3,2011
Singapore,88.8,84.9,87.4,88.2,52.7,82.5,2011
Germany,87.2,32.6,67.6,75.3,70.1,118.5,2011
Israel,82.9,33.5,65.2,73.0,73.4,84.3,2011
Saudi Arabia,81.0,22.2,59.9,125.6,29.5,77.9,2011
United Arab Emirates,80.1,74.6,78.1,59.3,97.1,109.3,2011
Malta,78.2,24.0,58.7,68.2,66.0,92.3,2011
Puerto Rico,77.1,29.2,59.9,70.0,61.5,93.9,2011
Brazil,76.8,26.5,58.7,50.1,48.4,58.3,2011
Morocco,76.4,25.8,58.3,69.2,41.4,26.9,2011
United States,76.2,40.2,63.3,71.0,60.2,120.4,2011
Spain,76.1,33.5,60.8,57.5,68.6,67.7,2011
Portugal,73.1,30.6,57.8,51.6,51.4,53.6,2011
Slovenia,72.6,33.0,58.4,62.1,57.8,64.2,2011
Hong Kong,72.2,81.2,75.4,70.1,51.4,65.2,2011
Latvia,70.9,19.9,52.6,49.8,76.5,36.2,2011
Uruguay,70.3,20.1,52.3,62.0,52.4,44.5,2011
Costa Rica,69.8,22.3,52.7,75.7,58.2,44.9,2011
South Africa,69.2,27.3,54.1,59.3,50.0,86.4,2011
Croatia,68.3,18.1,50.3,65.1,48.2,51.8,2011
Lebanon,68.3,42.2,58.9,36.4,58.2,22.9,2011
Azerbaijan,67.3,59.5,64.5,47.0,57.8,33.0,2011
Dominican Republic,67.1,22.8,51.2,64.9,49.1,46.1,2011
Russia,64.0,40.0,55.4,46.9,65.9,33.8,2011
Venezuela,63.9,32.4,52.6,52.4,57.6,34.8,2011
Jordan,62.0,19.9,46.9,59.2,41.4,34.8,2011
Turkey,61.9,17.1,45.8,47.5,42.5,55.9,2011
Lithuania,61.8,19.7,46.7,56.1,41.2,31.5,2011
Hungary,61.5,16.5,45.3,52.4,43.0,38.0,2011
Chile,61.2,16.8,45.2,46.9,47.4,61.2,2011
Czech Republic,60.8,30.5,49.9,47.1,37.9,57.3,2011
Slovakia,60.0,22.0,46.4,53.7,43.3,59.3,2011
South Korea,60.0,31.1,49.6,66.8,50.2,118.7,2011
Montenegro,59.5,22.9,46.4,44.8,48.9,27.6,2011
Estonia,59.2,16.6,43.9,44.3,58.6,68.9,2011
Armenia,58.7,25.9,46.9,27.6,47.4,17.4,2011
Argentina,56.6,18.6,43.0,49.6,44.6,51.8,2011
Taiwan,55.7,22.0,43.6,56.7,32.9,92.0,2011
Bosnia And Herzegovina,55.4,8.2,38.5,49.8,34.9,38.6,2011
Colombia,54.3,13.7,39.7,44.9,32.5,39.8,2011
Bulgaria,52.1,14.3,38.5,40.1,36.8,35.0,2011
Mexico,51.5,17.3,39.2,46.0,38.9,65.0,2011
Egypt,51.3,22.4,40.9,48.4,37.7,17.7,2011
Poland,51.2,19.5,39.8,39.7,38.7,62.8,2011
Serbia,51.0,15.5,38.3,38.7,40.2,31.9,2011
Syria,49.7,13.0,36.5,41.2,33.2,22.2,2011
Ecuador,49.5,14.5,36.9,56.7,27.3,40.3,2011
Indonesia,49.3,19.1,38.5,55.8,26.8,16.6,2011
Belarus,47.9,15.9,36.4,35.8,60.1,26.0,2011
Romania,47.7,13.6,35.5,40.1,35.2,33.4,2011
Peru,46.9,17.5,36.3,50.0,32.7,42.8,2011
Iran,46.1,29.6,40.2,49.6,32.5,54.8,2011
Ukraine,45.1,17.4,35.2,29.9,41.2,29.5,2011
Panama,45.0,19.0,35.7,38.6,32.2,70.1,2011
Malaysia,44.8,11.5,32.9,40.5,23.5,86.5,2011
Mongolia,44.4,18.5,35.1,56.0,27.6,34.6,2011
China,43.4,20.3,35.1,46.8,25.4,27.4,2011
Kenya,43.2,19.8,34.8,39.5,29.7,34.9,2011
North Macedonia,41.8,10.1,30.4,35.0,28.8,38.3,2011
Thailand,41.8,21.7,34.6,46.2,24.8,23.5,2011
Philippines,39.1,9.7,28.5,33.9,19.2,37.9,2011
Vietnam,39.1,32.3,36.6,36.1,24.0,51.1,2011
Bolivia,37.4,15.2,29.4,28.3,23.4,50.5,2011
Pakistan,31.0,7.8,22.6,28.1,20.2,30.3,2011
India,30.3,9.0,22.6,28.9,18.3,62.8,2011
Norway,151.3,55.5,116.8,142.4,150.2,92.6,2012
Switzerland,141.3,58.5,111.5,130.5,123.1,127.5,2012
Japan,134.2,54.2,105.4,118.0,84.3,79.9,2012
Monaco,128.2,173.1,144.3,89.8,138.1,62.3,2012
Australia,123.0,58.8,99.9,113.7,109.0,109.5,2012
Denmark,116.5,41.3,89.4,94.1,130.7,102.0,2012
Belgium,108.7,35.0,82.2,86.0,107.5,90.4,2012
Ireland,107.8,38.1,82.7,97.1,106.1,89.6,2012
Netherlands,104.5,41.2,81.7,69.6,104.4,95.2,2012
Iceland,103.6,32.7,78.1,97.7,92.2,78.6,2012
Sweden,101.9,29.4,75.8,85.3,101.5,100.7,2012
New Zealand,101.7,31.7,76.5,95.6,86.5,85.4,2012
United Kingdom,100.1,37.9,77.7,83.7,94.1,88.3,2012
Finland,99.7,36.5,76.9,82.3,96.9,98.1,2012
Bahrain,99.5,37.5,77.2,150.5,86.9,52.8,2012
France,98.2,35.9,75.8,83.0,94.9,92.7,2012
Canada,98.0,38.3,76.6,93.8,83.2,108.2,2012
Kuwait,96.2,30.8,72.7,73.5,137.4,70.0,2012
Singapore,96.1,90.7,94.1,82.8,65.1,93.3,2012
Israel,95.5,32.1,72.6,77.3,89.5,75.0,2012
Austria,94.8,34.3,73.1,85.1,76.6,98.3,2012
Italy,94.8,34.3,73.0,76.0,95.4,68.6,2012
Saudi Arabia,93.4,18.0,66.3,135.5,39.6,82.1,2012
Greece,93.1,18.9,66.4,69.8,91.2,48.3,2012
Cyprus,89.5,22.4,65.4,74.6,92.2,77.0,2012
Germany,88.6,28.9,67.1,72.1,76.2,114.4,2012
Lebanon,86.1,37.0,68.4,45.3,69.6,24.4,2012
Hong Kong,84.4,97.0,88.9,80.5,69.0,84.3,2012
Qatar,84.3,63.5,76.8,81.6,72.9,153.6,2012
Puerto Rico,84.3,28.1,64.1,81.8,64.6,78.2,2012
Brazil,83.7,25.6,62.8,57.8,57.0,32.8,2012
Malta,83.2,19.5,60.2,70.8,69.1,91.7,2012
United States,83.1,37.4,66.6,77.6,68.7,116.5,2012
Uruguay,83.0,25.3,62.2,66.0,68.8,29.4,2012
United Arab Emirates,82.0,66.9,76.5,66.2,80.5,125.9,2012
Spain,80.2,27.3,61.2,59.0,74.8,88.0,2012
South Africa,75.6,25.4,57.5,59.7,56.3,92.5,2012
Slovenia,74.3,25.7,56.8,64.7,58.0,57.9,2012
Morocco,71.9,26.6,55.6,61.4,41.7,16.7,2012
Azerbaijan,71.2,41.0,60.4,53.2,68.2,26.4,2012
Kazakhstan,70.8,31.8,56.8,49.6,54.7,24.5,2012
Portugal,70.8,23.0,53.6,56.2,52.2,56.0,2012
South Korea,68.6,27.8,53.9,70.7,48.2,108.6,2012
Costa Rica,68.4,23.0,52.1,67.0,52.9,46.3,2012
Latvia,67.8,14.3,48.5,51.3,63.6,35.0,2012
Croatia,67.5,13.9,48.2,56.0,52.4,50.1,2012
Chile,67.4,19.8,50.3,54.2,54.3,47.1,2012
Estonia,66.9,15.1,48.3,51.3,58.7,47.8,2012
Turkey,65.3,15.5,47.4,47.3,48.2,52.6,2012
Russia,64.8,23.8,50.1,49.7,67.5,43.9,2012
Argentina,63.1,19.2,47.3,52.4,54.4,41.7,2012
Taiwan,62.9,18.7,47.0,75.3,35.6,74.9,2012
Armenia,62.8,19.6,47.2,38.4,53.2,20.7,2012
Montenegro,62.2,17.2,46.0,49.1,55.9,38.9,2012
Lithuania,62.1,14.8,45.1,53.0,41.8,33.6,2012
Czech Republic,61.4,21.3,47.0,49.0,40.9,61.9,2012
Jordan,60.4,13.3,43.5,54.9,48.2,37.0,2012
Colombia,60.0,16.6,44.4,50.2,38.8,29.3,2012
Hungary,59.7,12.7,42.7,44.6,43.6,36.8,2012
Slovakia,59.3,23.0,46.2,49.2,40.0,49.2,2012
Georgia,56.1,15.3,41.4,40.9,49.1,29.4,2012
Peru,55.1,15.7,40.9,41.9,36.2,36.0,2012
Mexico,55.1,14.0,40.3,48.5,43.2,59.0,2012
Malaysia,54.9,12.8,39.7,53.7,31.1,74.1,2012
Iran,54.8,25.2,44.2,53.9,42.2,46.2,2012
Tunisia,54.5,9.9,38.4,45.7,40.4,32.4,2012
Panama,54.0,25.3,43.7,48.9,37.7,40.9,2012
Mongolia,53.9,24.0,43.1,57.9,37.8,22.6,2012
Indonesia,51.4,17.2,39.1,57.9,30.1,18.3,2012
Ukraine,51.1,14.9,38.1,38.4,46.1,25.6,2012
Bulgaria,50.9,12.3,37.0,42.0,33.0,33.8,2012
Ecuador,50.8,12.4,37.0,46.6,29.0,26.0,2012
Bosnia And Herzegovina,50.8,8.4,35.5,41.1,39.6,44.4,2012
Serbia,50.5,11.9,36.6,36.5,40.3,31.3,2012
Syria,50.2,12.8,36.8,37.7,33.1,23.6,2012
Thailand,50.2,17.6,38.4,65.5,27.4,32.0,2012
Poland,49.7,16.9,37.9,39.4,38.4,59.2,2012
Egypt,49.6,16.0,37.5,43.4,44.8,28.2,2012
China,48.8,19.7,38.3,53.7,33.6,30.3,2012
Nicaragua,48.3,10.7,34.8,47.5,34.6,42.6,2012
Romania,47.9,12.2,35.0,39.8,35.3,34.3,2012
Moldova,47.8,12.3,35.0,38.6,40.3,27.6,2012
Belarus,45.6,10.6,33.0,33.8,52.8,23.6,2012
Nepal,44.3,4.9,30.1,36.1,30.2,24.5,2012
Philippines,43.6,11.0,31.9,43.1,23.8,29.0,2012
Vietnam,42.9,33.0,39.3,45.3,26.7,28.0,2012
North Macedonia,42.8,9.5,30.8,33.6,31.6,35.2,2012
Algeria,40.6,8.3,29.0,43.6,25.6,27.5,2012
Pakistan,36.2,6.8,25.6,31.5,29.1,28.3,2012
India,33.4,8.4,24.4,33.8,21.1,60.1,2012
Norway,173.8,69.0,123.5,162.5,183.3,95.9,2013
Switzerland,151.8,70.9,113.0,153.1,142.4,137.3,2013
Australia,133.7,72.7,104.4,128.7,116.4,103.0,2013
Luxembourg,124.8,67.7,97.4,111.8,130.8,121.4,2013
Denmark,119.9,42.9,83.0,104.0,130.5,102.1,2013
Japan,115.2,43.8,81.0,112.8,70.0,86.0,2013
Sweden,114.5,36.1,76.9,105.6,110.1,106.6,2013
New Zealand,113.6,46.1,81.2,111.7,93.5,80.6,2013
Bahrain,113.5,29.6,73.2,162.9,71.0,59.3,2013
Iceland,112.4,39.3,77.3,118.8,99.7,67.9,2013
Ireland,112.3,40.4,77.8,105.5,103.0,95.1,2013
Venezuela,111.0,41.5,77.6,126.4,93.6,16.6,2013
Belgium,108.0,39.2,75.0,90.1,115.6,94.1,2013
Finland,107.0,40.4,75.0,101.3,100.2,94.1,2013
Singapore,105.4,103.0,104.3,91.2,63.3,59.9,2013
Netherlands,103.9,45.7,76.0,81.1,107.7,92.9,2013
France,103.2,38.0,71.9,97.7,100.4,98.1,2013
United Kingdom,102.2,41.1,72.9,93.1,94.3,89.1,2013
Italy,101.4,36.2,70.1,87.3,107.4,70.4,2013
Canada,99.6,39.8,70.9,101.2,85.6,109.6,2013
Cyprus,98.6,25.0,63.3,89.3,101.2,72.5,2013
Austria,97.9,36.8,68.6,92.8,81.4,87.5,2013
Greece,92.6,18.6,57.1,74.7,95.5,49.4,2013
Israel,92.2,32.3,63.5,76.9,90.1,72.6,2013
Germany,91.6,33.2,63.6,80.7,79.7,117.6,2013
Nigeria,87.2,17.9,53.9,92.9,62.5,32.7,2013
Malta,85.6,20.6,54.4,73.7,77.6,77.8,2013
Spain,83.1,29.1,57.2,66.5,81.0,84.0,2013
Puerto Rico,82.6,25.0,54.9,83.5,65.0,94.1,2013
Qatar,82.4,84.1,83.2,75.0,78.8,136.7,2013
Slovenia,82.1,26.5,55.4,70.5,63.2,59.2,2013
Uruguay,81.7,26.1,55.0,70.5,75.7,37.6,2013
Kuwait,80.7,34.6,58.6,79.0,78.7,84.6,2013
United States,80.5,37.4,59.8,80.7,67.9,136.5,2013
South Korea,80.4,28.7,55.6,94.1,46.5,102.1,2013
Azerbaijan,78.2,41.9,60.8,67.9,64.8,20.5,2013
Hong Kong,77.8,88.6,83.0,79.8,54.5,80.3,2013
Lebanon,75.6,38.5,57.8,58.1,65.2,42.5,2013
United Arab Emirates,75.5,63.3,69.6,65.0,69.9,121.2,2013
Portugal,75.3,24.3,50.8,61.2,59.1,54.1,2013
Croatia,72.2,14.9,44.7,64.5,56.0,51.6,2013
Saudi Arabia,72.2,15.7,45.1,74.5,36.5,114.6,2013
Estonia,70.8,16.8,44.9,60.9,53.4,53.1,2013
Argentina,70.4,20.1,46.3,64.5,65.4,50.2,2013
Brazil,70.0,22.8,47.3,54.0,51.8,41.3,2013
Russia,69.7,29.4,50.3,56.9,73.6,43.0,2013
Chile,68.4,21.3,45.8,58.2,56.3,56.4,2013
Latvia,68.0,15.3,42.7,55.4,58.4,41.3,2013
Taiwan,67.8,20.5,45.1,80.0,31.7,73.0,2013
Costa Rica,66.6,20.9,44.7,71.8,54.7,45.6,2013
Dominican Republic,66.2,15.4,41.8,66.1,41.5,28.0,2013
Slovakia,65.7,24.5,45.9,56.2,44.5,53.8,2013
Jordan,65.5,15.6,41.6,56.8,56.4,36.2,2013
Kazakhstan,65.2,26.6,46.6,51.3,67.4,32.2,2013
Turkey,64.4,16.2,41.2,50.0,46.3,56.4,2013
Hungary,63.9,12.6,39.3,50.9,47.3,43.0,2013
Czech Republic,63.4,21.0,43.0,54.7,40.6,60.6,2013
Lithuania,63.3,16.2,40.7,55.4,42.0,42.2,2013
Montenegro,63.2,15.2,40.2,56.0,55.2,43.9,2013
China,61.8,25.8,44.5,66.4,36.5,37.3,2013
Trinidad And Tobago,61.6,30.6,46.7,55.8,48.4,44.3,2013
South Africa,60.2,21.4,41.6,52.9,49.8,105.3,2013
Ethiopia,59.9,24.3,42.8,62.5,26.1,11.5,2013
Colombia,58.4,14.0,37.1,52.8,38.3,29.7,2013
Iraq,57.2,18.0,38.4,50.9,46.2,33.7,2013
Iran,57.0,24.3,41.3,59.3,42.8,37.5,2013
Kenya,57.0,17.2,37.9,61.0,33.8,38.9,2013
Cambodia,55.8,9.2,33.4,64.3,24.5,15.5,2013
Poland,55.6,20.2,38.6,46.6,43.1,54.7,2013
Tanzania,54.9,13.9,35.2,59.2,24.9,66.0,2013
Malaysia,54.8,15.3,35.8,51.5,27.4,69.6,2013
Oman,54.6,27.5,41.6,51.4,39.8,129.2,2013
Mauritius,54.5,23.4,39.5,43.5,53.5,46.1,2013
Morocco,54.0,16.7,36.1,44.7,42.3,26.4,2013
Georgia,53.8,17.1,36.2,45.5,47.5,28.6,2013
Serbia,53.6,12.0,33.6,43.5,42.8,36.6,2013
Mexico,53.6,13.3,34.2,52.5,37.4,59.8,2013
Bosnia And Herzegovina,53.4,8.6,31.9,47.4,38.1,46.4,2013
Panama,53.4,28.3,41.3,58.8,36.3,37.5,2013
Bulgaria,52.7,12.4,33.3,46.9,38.8,37.7,2013
Romania,51.9,14.1,33.8,47.3,37.2,35.8,2013
Thailand,51.8,21.3,37.2,57.9,25.5,35.0,2013
Belarus,51.3,13.3,33.1,41.9,58.1,23.4,2013
Sri Lanka,50.6,14.5,33.3,55.0,29.7,27.2,2013
Tunisia,50.3,11.6,31.7,44.4,36.8,34.2,2013
Peru,48.8,15.5,32.8,42.6,31.2,45.3,2013
Albania,48.6,10.8,30.5,40.2,31.8,35.3,2013
Ukraine,48.6,14.7,32.3,41.5,43.5,32.0,2013
Philippines,48.0,10.9,30.2,51.2,26.9,25.7,2013
Syria,47.3,17.6,33.0,36.7,40.6,21.9,2013
Moldova,47.2,12.9,30.8,38.3,38.0,24.5,2013
Ecuador,46.6,12.9,30.4,48.2,26.4,25.5,2013
North Macedonia,46.5,10.7,29.3,38.4,33.2,34.9,2013
Indonesia,46.1,17.6,32.4,51.0,23.7,24.6,2013
Bangladesh,44.8,7.8,27.1,38.5,26.4,33.3,2013
Egypt,44.8,11.1,28.6,40.3,37.2,30.3,2013
Vietnam,43.2,20.8,32.4,41.8,23.7,31.9,2013
Bolivia,41.5,12.5,27.6,36.4,21.5,46.4,2013
Algeria,41.5,6.1,24.5,43.8,24.8,32.7,2013
Nepal,38.7,3.7,21.9,36.7,26.2,29.5,2013
Pakistan,33.4,6.1,20.3,32.1,25.3,26.0,2013
India,30.9,7.4,19.6,32.5,18.1,61.9,2013
Norway,144.4,58.9,102.9,135.5,165.9,94.4,2014
Switzerland,143.9,63.8,105.0,148.5,145.6,138.1,2014
Denmark,114.9,40.1,78.5,102.6,132.3,100.7,2014
Venezuela,114.4,39.6,78.0,132.1,96.2,17.9,2014
Iceland,111.8,41.1,77.4,121.1,106.1,59.5,2014
Luxembourg,109.9,64.1,87.7,97.1,126.5,115.3,2014
Australia,108.5,58.0,84.0,105.0,97.4,104.2,2014
Ireland,106.6,39.2,73.9,102.7,100.0,94.6,2014
New Zealand,104.5,42.4,74.3,104.5,90.1,87.6,2014
Sweden,103.7,33.8,69.7,100.4,103.8,106.1,2014
Bahamas,103.4,47.3,76.2,98.0,96.5,93.4,2014
Finland,103.3,35.3,70.3,100.4,103.2,97.9,2014
France,100.2,36.9,69.4,100.2,98.7,92.3,2014
United Kingdom,100.1,44.2,72.9,94.3,96.9,94.3,2014
Belgium,100.0,34.9,68.4,93.5,105.8,87.9,2014
Singapore,100.0,97.0,98.6,89.8,61.4,64.1,2014
Netherlands,98.8,40.9,70.7,78.0,115.2,97.5,2014
Italy,96.8,31.6,65.1,85.0,104.6,75.4,2014
Japan,94.1,35.5,65.7,97.6,58.8,99.6,2014
Israel,91.5,35.2,64.1,79.5,95.4,69.3,2014
Cyprus,89.8,20.9,56.3,82.4,94.5,65.2,2014
Austria,89.5,33.2,62.2,88.7,79.2,91.5,2014
Canada,87.9,35.7,62.5,94.6,78.8,105.5,2014
South Korea,87.6,37.6,63.3,106.5,51.8,80.6,2014
Germany,87.1,30.3,59.5,77.9,77.8,112.3,2014
Greece,83.8,15.1,50.4,70.5,84.8,44.3,2014
Malta,80.2,17.5,49.7,68.9,79.1,72.7,2014
United States,77.4,36.9,57.7,83.4,67.7,132.9,2014
Uruguay,77.4,25.3,52.0,68.7,71.6,39.6,2014
Spain,77.2,26.4,52.5,64.2,79.1,72.5,2014
Puerto Rico,76.5,21.2,49.6,80.0,64.4,85.3,2014
Hong Kong,76.4,87.8,81.9,82.1,51.8,71.4,2014
Slovenia,75.4,22.5,49.7,65.2,61.4,60.4,2014
Qatar,75.3,77.0,76.1,70.3,78.4,125.8,2014
Kuwait,74.1,38.8,56.9,77.6,55.9,92.5,2014
Nigeria,73.8,21.3,48.3,75.0,62.7,35.6,2014
Jamaica,73.4,19.6,47.3,71.5,54.4,54.1,2014
Lebanon,70.2,33.4,52.3,54.6,67.5,41.9,2014
Zimbabwe,69.9,20.3,45.8,66.9,53.9,27.7,2014
Portugal,69.3,22.4,46.5,57.4,58.2,54.6,2014
Croatia,69.0,13.9,42.3,62.7,54.8,48.3,2014
United Arab Emirates,68.2,64.3,66.3,61.7,65.2,110.6,2014
Saudi Arabia,68.1,15.5,42.6,69.6,34.9,100.0,2014
Estonia,67.3,18.1,43.4,58.6,54.8,48.7,2014
Argentina,66.8,17.6,42.9,63.2,64.2,57.1,2014
Latvia,66.0,16.4,41.9,54.3,53.9,40.2,2014
Costa Rica,65.6,18.8,42.9,69.4,55.5,42.4,2014
Ghana,64.6,40.8,53.0,70.5,57.8,15.1,2014
Kazakhstan,63.1,22.6,43.5,53.5,64.1,37.3,2014
Azerbaijan,63.1,34.9,49.4,54.5,65.4,24.9,2014
Russia,61.8,29.6,46.2,50.9,68.5,37.3,2014
Slovakia,61.5,22.0,42.3,55.3,43.2,52.4,2014
Jordan,61.5,15.2,39.0,53.7,54.5,38.3,2014
Brazil,60.6,21.8,41.7,49.3,47.5,43.3,2014
Taiwan,60.2,19.1,40.2,74.0,29.5,82.3,2014
Chile,60.2,18.3,39.8,54.3,50.0,58.3,2014
Lithuania,60.0,14.6,37.9,52.8,41.9,43.2,2014
Namibia,59.8,24.3,42.6,52.7,47.8,35.0,2014
